Email,Full name,Age,Gender,Low-So,Medical Condition,How often do you consume outside food?,Do you monitor salt intake?,Have you used any smart spoon?,Are you willing to try one?,Would you recommend it?,How important is taste in your meals?,What feature would you prefer?,Do you use any suggestions for reducing salt?,Any suggestions/comments?,Salt1,Salt2,Salt3,Salt4,Salt5,Salt6,Salt7,Salt8,Salt9,Salt10
erin65@hotmail.com,Jeremy Lopez,50,Male,No,Yes,Rarely,Never,Yes,Yes,Maybe,Important,Simple UI,Yes,Wife which add her mouth pass across detail crime relationship.,Too Salty,Perfect,Too Bland,Too Bland,1/2 tsp,1/4 tsp,Too Salty,More than 1 tsp,Perfect,1/4 tsp
roblesdestiny@hotmail.com,Joshua Liu,23,Female,Yes,No,Weekly,Sometimes,No,Yes,Yes,Neutral,Adjustable,No,Toward Republican good any actually little right guess although entire.,Too Salty,Too Bland,More than 1 tsp,Too Salty,Perfect,N/A,Too Bland,N/A,1/2 tsp,1/4 tsp
xpetersen@estes.com,Larry Villarreal,25,Female,No,No,Daily,Always,Maybe,Maybe,Maybe,Neutral,Adjustable,Yes,As perform up agreement defense join.,1/4 tsp,More than 1 tsp,More than 1 tsp,1/4 tsp,Perfect,Too Salty,N/A,1/4 tsp,1/4 tsp,Too Salty
mcharles@hotmail.com,Joshua Moore,19,Other,Yes,No,Monthly,Sometimes,Maybe,No,Yes,Not Important,Voice Control,No,Executive everybody mention above physical today strong high.,Too Salty,1/2 tsp,Too Bland,N/A,1/4 tsp,Perfect,Too Bland,Too Bland,1/2 tsp,Too Bland
christina21@cisneros.com,Stephen Cruz,24,Male,Yes,Yes,Weekly,Sometimes,Maybe,Maybe,Yes,Not Important,Voice Control,Yes,Style party second agree would opportunity defense actually vote various.,Too Salty,N/A,N/A,1/4 tsp,Perfect,Too Salty,1/4 tsp,More than 1 tsp,1/2 tsp,N/A
chad97@rosales.com,Michelle Ramos,27,Other,Yes,Yes,Monthly,Sometimes,Yes,Yes,Yes,Not Important,Automated,No,Home heavy least game product add campaign.,1/2 tsp,N/A,1/2 tsp,N/A,Too Bland,1/4 tsp,More than 1 tsp,More than 1 tsp,1/2 tsp,Perfect
jortiz@hotmail.com,Mrs. Brenda Moore DDS,61,Other,Yes,No,Daily,Always,Maybe,Yes,No,Important,Mobile App,Yes,Hard here board necessary build happy simply.,1/4 tsp,Perfect,More than 1 tsp,Too Bland,Perfect,Too Salty,N/A,1/4 tsp,1/2 tsp,Perfect
daniel15@mooney.biz,Elizabeth Huynh,61,Female,Yes,Yes,Daily,Always,Maybe,Yes,Maybe,Very Important,Simple UI,Yes,Record himself national yourself husband quickly book discover whether weight.,N/A,Perfect,1/4 tsp,1/2 tsp,1/4 tsp,1/2 tsp,1/4 tsp,Too Bland,1/4 tsp,N/A
guzmanamber@yahoo.com,Jeffrey Morrison,53,Female,Yes,Yes,Monthly,Sometimes,Maybe,Yes,Yes,Neutral,Voice Control,Yes,Go success end significant perhaps mean watch suddenly.,Too Salty,Too Salty,Too Salty,More than 1 tsp,N/A,Too Bland,1/4 tsp,More than 1 tsp,1/4 tsp,Too Salty
tmeyer@yahoo.com,James Campbell,53,Other,No,No,Weekly,Always,No,Yes,Maybe,Important,Automated,No,Sister child bit school animal subject east.,Too Bland,Too Salty,1/4 tsp,N/A,Perfect,1/2 tsp,Too Bland,Too Bland,1/4 tsp,1/4 tsp
whiterichard@clayton-smith.org,Kenneth Mcdonald,33,Male,Yes,Yes,Daily,Never,Yes,Yes,Maybe,Very Important,Mobile App,No,Beyond outside usually wide him.,Perfect,Too Salty,N/A,Too Bland,Too Bland,Perfect,Too Salty,1/2 tsp,Too Bland,Perfect
pjones@hotmail.com,Rebecca Saunders,40,Female,No,Yes,Daily,Never,No,Yes,Yes,Not Important,Adjustable,Yes,Hospital stay establish important make forget officer.,Too Salty,1/4 tsp,More than 1 tsp,N/A,1/4 tsp,Perfect,Perfect,More than 1 tsp,Perfect,More than 1 tsp
lauriegarcia@yahoo.com,Matthew Williams,20,Male,No,No,Daily,Never,No,Maybe,No,Important,Simple UI,Yes,Son work policy student plan.,Perfect,1/4 tsp,Too Bland,1/4 tsp,More than 1 tsp,Too Salty,1/2 tsp,More than 1 tsp,Perfect,1/4 tsp
htorres@hayes-patrick.org,Nicole Rodriguez,54,Female,No,No,Monthly,Never,No,Maybe,Maybe,Very Important,Automated,Yes,Score future unit government ok sign go represent different and character.,Too Bland,1/2 tsp,Too Salty,N/A,1/4 tsp,Too Bland,Perfect,Too Salty,Too Bland,Too Salty
mfoster@jones.com,Debra Cunningham,26,Other,No,Yes,Rarely,Sometimes,Yes,Maybe,Maybe,Very Important,Mobile App,Yes,Provide goal offer blue water keep minute.,Perfect,Too Bland,Too Salty,1/4 tsp,1/4 tsp,More than 1 tsp,Too Bland,Perfect,More than 1 tsp,1/2 tsp
frank69@gmail.com,Kelly Taylor,43,Female,Yes,No,Daily,Never,Yes,No,Maybe,Very Important,Simple UI,Yes,Beautiful service admit agreement reflect city open director.,1/2 tsp,Perfect,More than 1 tsp,1/2 tsp,Perfect,N/A,Too Salty,1/4 tsp,1/4 tsp,More than 1 tsp
nlowery@yahoo.com,Eduardo Carter,35,Other,No,Yes,Not applicable,Always,No,Maybe,Yes,Important,Mobile App,Yes,Today difference various more mouth one heart.,1/2 tsp,More than 1 tsp,1/2 tsp,Too Salty,Perfect,More than 1 tsp,More than 1 tsp,Perfect,N/A,N/A
dylanmclaughlin@yahoo.com,Aaron Chan,53,Female,No,No,Not applicable,Sometimes,Maybe,No,No,Important,Mobile App,No,Goal cold task meet focus check.,More than 1 tsp,Perfect,Too Bland,N/A,1/2 tsp,Perfect,1/2 tsp,Perfect,Perfect,N/A
martha28@hotmail.com,Lori Ballard,60,Female,Yes,Yes,Monthly,Always,Maybe,Yes,No,Very Important,Mobile App,Yes,Cold pick new cause talk they.,Too Bland,More than 1 tsp,More than 1 tsp,Too Bland,1/4 tsp,More than 1 tsp,More than 1 tsp,N/A,1/2 tsp,Too Salty
mitchellcruz@gross-griffin.com,Kelly Simmons,20,Male,No,Yes,Monthly,Never,Yes,No,Yes,Not Important,Mobile App,No,Benefit provide old form bar evidence many question up.,Perfect,1/2 tsp,Perfect,Too Salty,More than 1 tsp,1/4 tsp,1/2 tsp,Perfect,Too Salty,Perfect
roger39@haas.com,Maureen Frazier,27,Other,Yes,No,Rarely,Always,Yes,No,Yes,Important,Simple UI,Yes,Few against executive agree walk career.,1/4 tsp,1/4 tsp,More than 1 tsp,N/A,1/2 tsp,More than 1 tsp,N/A,More than 1 tsp,More than 1 tsp,More than 1 tsp
brownwhitney@nguyen.com,Sabrina Hogan,43,Other,No,Yes,Daily,Never,No,Maybe,Maybe,Important,Voice Control,Yes,Once pick government own understand population.,Perfect,Too Bland,More than 1 tsp,More than 1 tsp,Too Bland,1/4 tsp,Perfect,Perfect,N/A,Too Bland
wellstodd@gmail.com,Kevin Bentley,25,Female,No,Yes,Not applicable,Always,Yes,Maybe,Yes,Important,Voice Control,No,Produce story scientist gas future piece likely example.,1/2 tsp,Too Salty,More than 1 tsp,Too Bland,More than 1 tsp,N/A,Perfect,1/2 tsp,Too Salty,1/4 tsp
xhiggins@hotmail.com,Ashley Williams MD,19,Other,Yes,No,Daily,Never,No,No,Maybe,Very Important,Mobile App,Yes,Conference possible institution room meeting western however.,1/4 tsp,Too Salty,1/4 tsp,Perfect,Too Bland,1/4 tsp,N/A,More than 1 tsp,1/2 tsp,Too Bland
oguerrero@yahoo.com,Beth Evans,44,Other,Yes,Yes,Weekly,Never,Maybe,Yes,Maybe,Very Important,Mobile App,Yes,Have tonight fact measure candidate blood eight it middle.,1/4 tsp,Perfect,1/2 tsp,Too Bland,Perfect,1/4 tsp,N/A,More than 1 tsp,Too Salty,More than 1 tsp
parkspatricia@hotmail.com,Kelsey Arroyo,22,Other,No,Yes,Daily,Always,Yes,Maybe,Yes,Not Important,Automated,Yes,He travel response case lot sense.,Too Salty,Too Bland,1/2 tsp,Too Salty,Too Bland,Too Bland,Too Salty,More than 1 tsp,Too Bland,More than 1 tsp
luis57@lara.biz,Robert Buckley,49,Female,No,No,Daily,Sometimes,Maybe,Maybe,No,Neutral,Adjustable,No,Direction use hard try various interesting open nor loss.,1/4 tsp,More than 1 tsp,Perfect,Too Salty,Perfect,More than 1 tsp,Perfect,1/2 tsp,Too Bland,N/A
timothy04@yahoo.com,Nichole Gilmore,27,Other,No,No,Weekly,Always,No,Yes,Maybe,Not Important,Adjustable,No,Piece surface can market certain thank knowledge.,Perfect,Too Salty,N/A,N/A,N/A,1/4 tsp,Too Bland,Perfect,More than 1 tsp,1/2 tsp
pbailey@lopez.net,Julie Barnes,57,Other,Yes,No,Rarely,Sometimes,Maybe,Maybe,Yes,Very Important,Automated,No,Discussion care teach nature.,1/4 tsp,More than 1 tsp,N/A,1/4 tsp,1/4 tsp,Too Salty,1/4 tsp,N/A,Too Salty,Too Salty
collierbecky@hansen.com,Melissa Blackwell,31,Male,No,Yes,Not applicable,Sometimes,Maybe,Maybe,Yes,Very Important,Voice Control,No,Thank across television very number maintain red matter machine.,1/4 tsp,Too Salty,1/4 tsp,1/4 tsp,N/A,More than 1 tsp,Perfect,1/4 tsp,N/A,1/2 tsp
keith50@yahoo.com,Randy Mccall,60,Male,Yes,Yes,Rarely,Sometimes,Maybe,No,Maybe,Not Important,Adjustable,No,Carry still down can difference stop activity person travel nor.,1/4 tsp,Too Salty,1/4 tsp,1/4 tsp,1/4 tsp,Too Salty,1/2 tsp,Too Bland,Perfect,More than 1 tsp
qjones@yahoo.com,Thomas Mitchell,33,Other,Yes,No,Daily,Always,No,Maybe,No,Not Important,Simple UI,No,Huge lead answer child religious base.,More than 1 tsp,More than 1 tsp,N/A,More than 1 tsp,N/A,More than 1 tsp,More than 1 tsp,More than 1 tsp,1/2 tsp,More than 1 tsp
owenlinda@gmail.com,Kimberly Hall,26,Female,No,Yes,Daily,Always,Yes,Yes,Yes,Not Important,Adjustable,No,Discuss have natural politics for morning color.,1/2 tsp,More than 1 tsp,1/4 tsp,Too Bland,1/2 tsp,More than 1 tsp,Too Bland,Too Bland,1/4 tsp,Too Salty
thompsonjoy@page-lee.com,Christopher Anderson,46,Other,Yes,No,Weekly,Never,Yes,No,Yes,Very Important,Voice Control,Yes,Action none young whatever himself big protect main.,Too Salty,Too Bland,Perfect,Too Bland,Perfect,1/4 tsp,1/2 tsp,Too Salty,More than 1 tsp,More than 1 tsp
ymcdowell@taylor-miller.biz,Shane Reed,60,Other,Yes,Yes,Daily,Sometimes,Yes,Yes,Yes,Important,Mobile App,No,Enjoy support least leave employee.,1/2 tsp,1/4 tsp,1/2 tsp,1/4 tsp,Too Salty,Too Bland,N/A,N/A,Perfect,Too Salty
joshua13@mclaughlin.com,Kevin Brown,40,Other,Yes,No,Monthly,Never,Yes,Yes,Yes,Very Important,Voice Control,No,Question teacher manage read test mean soon event day.,More than 1 tsp,Perfect,1/4 tsp,More than 1 tsp,1/4 tsp,More than 1 tsp,N/A,Too Bland,Too Salty,1/4 tsp
suttonlaura@hotmail.com,Carrie Williamson,23,Female,Yes,No,Monthly,Sometimes,No,Yes,No,Not Important,Automated,No,Per edge appear space then those detail through charge be.,Too Bland,N/A,Too Salty,Too Bland,Perfect,N/A,Too Salty,Too Bland,More than 1 tsp,Too Salty
shatfield@hotmail.com,Tonya Davis,38,Other,Yes,Yes,Rarely,Never,Maybe,Yes,No,Neutral,Mobile App,Yes,Modern Democrat visit office likely worker.,N/A,Too Salty,More than 1 tsp,Too Bland,Perfect,N/A,More than 1 tsp,N/A,1/4 tsp,Perfect
markbarnes@horton.org,John Bryan,64,Male,Yes,Yes,Rarely,Always,Maybe,Yes,No,Important,Voice Control,Yes,First eight nature man authority.,Too Salty,N/A,Perfect,N/A,Perfect,Too Bland,N/A,1/2 tsp,Too Bland,Too Bland
mgriffin@gill-gray.com,Anthony Gray,36,Other,Yes,Yes,Rarely,Always,Maybe,Maybe,Yes,Neutral,Mobile App,No,Education light tax above television itself one less practice every.,Perfect,1/2 tsp,N/A,Perfect,N/A,Too Bland,1/2 tsp,Too Bland,Too Salty,Perfect
robertdurham@hotmail.com,Matthew Morales,54,Other,No,Yes,Rarely,Never,Maybe,Maybe,Yes,Very Important,Automated,Yes,Mr election if represent down campaign yes couple product.,Too Bland,1/2 tsp,Too Salty,Too Bland,Too Salty,Too Bland,N/A,1/4 tsp,Too Bland,Too Salty
angelapayne@gmail.com,Amanda Taylor,18,Male,No,No,Daily,Always,No,Yes,Maybe,Neutral,Adjustable,Yes,Office can throughout baby paper year.,More than 1 tsp,Perfect,N/A,1/2 tsp,More than 1 tsp,N/A,Too Bland,1/4 tsp,N/A,Too Bland
jason50@knapp.biz,Shannon Walker,34,Male,Yes,No,Weekly,Never,Maybe,Maybe,Yes,Very Important,Simple UI,No,Send important a visit level president.,Too Salty,More than 1 tsp,Perfect,Too Bland,N/A,Perfect,Perfect,Too Salty,N/A,N/A
mjohnson@hall.com,Amber Morrow,45,Other,No,Yes,Not applicable,Never,Maybe,No,No,Important,Adjustable,Yes,Send school budget shoulder head painting.,Too Bland,Too Salty,1/2 tsp,N/A,N/A,1/2 tsp,N/A,Too Bland,Too Salty,Perfect
fcarrillo@yahoo.com,Adrian Johnson,58,Male,Yes,No,Daily,Sometimes,Yes,No,No,Neutral,Simple UI,No,Drug career interesting trouble full stay news store trip.,1/2 tsp,Too Salty,N/A,Perfect,Too Bland,More than 1 tsp,Too Bland,More than 1 tsp,More than 1 tsp,Too Bland
browntabitha@yahoo.com,Diane Harris,31,Female,Yes,Yes,Daily,Always,Maybe,No,Maybe,Neutral,Adjustable,No,Can three tax figure foreign pattern capital experience religious social.,N/A,Too Salty,More than 1 tsp,Too Salty,1/4 tsp,1/2 tsp,More than 1 tsp,Too Salty,1/2 tsp,1/2 tsp
stacycruz@gmail.com,Johnny Rose,27,Female,No,Yes,Monthly,Always,Yes,Maybe,No,Not Important,Adjustable,No,Plan class million soldier land road resource week cause.,1/2 tsp,Too Salty,Perfect,1/4 tsp,Too Salty,1/4 tsp,1/2 tsp,Too Salty,Too Salty,1/2 tsp
stevensmatthew@hotmail.com,Jeanette Neal MD,27,Male,No,Yes,Not applicable,Sometimes,Maybe,Yes,Yes,Neutral,Adjustable,Yes,Article onto fall page style change always inside.,Perfect,N/A,Too Salty,Too Bland,Too Bland,Too Bland,N/A,More than 1 tsp,More than 1 tsp,1/2 tsp
denise15@shields.com,Chad Wong,26,Other,No,No,Rarely,Always,No,Yes,Maybe,Important,Adjustable,Yes,Actually product into theory pass meet say board have house.,Perfect,Too Bland,Too Salty,Too Bland,1/2 tsp,1/2 tsp,Too Bland,Too Bland,Too Salty,1/4 tsp
richardbright@dodson-wright.com,Jaclyn Scott,30,Female,Yes,No,Monthly,Sometimes,No,No,Maybe,Very Important,Voice Control,No,New full discuss measure media service off.,N/A,Too Bland,Too Salty,More than 1 tsp,Perfect,More than 1 tsp,Too Salty,Too Bland,Too Bland,N/A
zdodson@stewart.info,Danielle Montgomery,65,Other,No,No,Not applicable,Always,No,Maybe,No,Neutral,Automated,No,Weight white than animal Mr serve.,More than 1 tsp,Perfect,Too Salty,N/A,Perfect,Perfect,More than 1 tsp,1/4 tsp,Too Salty,1/2 tsp
margaretweaver@nunez.com,Amanda Cordova,60,Male,No,Yes,Rarely,Never,No,No,Yes,Very Important,Simple UI,Yes,Ask sit assume pretty between administration art.,Perfect,Perfect,1/4 tsp,More than 1 tsp,More than 1 tsp,Too Bland,Too Bland,Too Salty,More than 1 tsp,Perfect
raymichael@salazar-marshall.com,Troy Alvarez,40,Female,Yes,Yes,Monthly,Sometimes,Yes,Yes,Yes,Neutral,Voice Control,Yes,Able attorney some tonight side light against investment whatever individual.,More than 1 tsp,Perfect,1/4 tsp,Perfect,Too Salty,Perfect,Perfect,1/4 tsp,N/A,1/4 tsp
vincent66@olsen.com,Katelyn Gordon,50,Male,No,Yes,Monthly,Sometimes,Yes,Maybe,Maybe,Important,Automated,No,Wear money woman join tend quality care.,Too Bland,1/2 tsp,1/4 tsp,Too Bland,1/2 tsp,Too Salty,Too Bland,Perfect,Perfect,1/2 tsp
brownchelsea@mccarty-ramos.com,Dr. Jeffrey Jones,36,Female,Yes,Yes,Weekly,Sometimes,Maybe,Maybe,Yes,Important,Mobile App,No,Model bill record commercial east believe condition voice.,1/4 tsp,Perfect,More than 1 tsp,More than 1 tsp,Perfect,Too Bland,N/A,1/2 tsp,Too Salty,1/2 tsp
annaray@hernandez.com,Gina Schroeder,53,Male,Yes,No,Not applicable,Always,Maybe,No,Yes,Very Important,Voice Control,Yes,Green good full experience attention.,Too Salty,Too Bland,Too Salty,More than 1 tsp,More than 1 tsp,N/A,1/4 tsp,1/4 tsp,1/2 tsp,Too Bland
bauerkatherine@hill-smith.com,Garrett Walker,39,Male,Yes,No,Monthly,Always,No,Yes,Maybe,Very Important,Automated,No,Vote people perform accept personal short scientist any.,More than 1 tsp,Too Bland,1/4 tsp,1/4 tsp,Too Salty,Too Salty,More than 1 tsp,N/A,Too Bland,Too Salty
smithrichard@hill.com,Jim Hendrix,24,Other,Yes,No,Daily,Always,Maybe,Yes,Maybe,Not Important,Voice Control,Yes,Media political five over better reach.,N/A,N/A,Perfect,1/2 tsp,More than 1 tsp,More than 1 tsp,Too Salty,Too Salty,N/A,Perfect
heatherlewis@gmail.com,Nicholas Bennett,49,Male,No,No,Not applicable,Always,Yes,No,Maybe,Neutral,Voice Control,No,Peace word travel year bad.,1/2 tsp,1/2 tsp,More than 1 tsp,More than 1 tsp,Too Salty,1/4 tsp,1/4 tsp,1/2 tsp,Too Bland,More than 1 tsp
mmata@barnett.net,Deanna Dominguez,59,Male,Yes,No,Weekly,Sometimes,Maybe,No,No,Very Important,Voice Control,Yes,Carry picture ok strategy reduce sing sure single appear.,Too Bland,1/2 tsp,Too Salty,More than 1 tsp,Too Bland,Perfect,More than 1 tsp,Too Salty,More than 1 tsp,More than 1 tsp
jamesdean@mills.org,Anthony Sanchez,57,Other,Yes,Yes,Monthly,Never,Yes,No,No,Very Important,Mobile App,Yes,That answer area late dog hospital bag.,N/A,Perfect,Perfect,Too Salty,1/4 tsp,1/4 tsp,Perfect,Too Bland,Perfect,N/A
stephanie86@fuentes.com,Joan Todd,35,Female,Yes,No,Monthly,Sometimes,Maybe,Maybe,Maybe,Important,Automated,No,Beyond bar end professional effort civil right may.,1/4 tsp,Too Bland,More than 1 tsp,1/2 tsp,Perfect,Too Bland,Too Bland,Too Bland,N/A,Perfect
hardintony@hotmail.com,Stephanie Ortiz,54,Female,No,No,Weekly,Sometimes,No,Yes,No,Neutral,Adjustable,Yes,Example by goal nice lose natural meeting side large.,N/A,More than 1 tsp,1/4 tsp,1/2 tsp,1/2 tsp,N/A,N/A,N/A,1/4 tsp,More than 1 tsp
joseph05@hotmail.com,Amy Arnold,21,Male,No,Yes,Weekly,Always,Maybe,Yes,Yes,Not Important,Simple UI,No,Music notice turn teacher effort point house.,1/2 tsp,Too Bland,N/A,Too Bland,N/A,1/2 tsp,Too Bland,More than 1 tsp,N/A,1/2 tsp
terribradford@yahoo.com,James Sullivan,58,Other,Yes,Yes,Rarely,Never,Yes,No,Yes,Important,Adjustable,Yes,Of play likely able must thus begin interesting specific.,Perfect,Too Bland,Too Bland,1/2 tsp,Too Bland,N/A,1/4 tsp,Too Salty,N/A,1/2 tsp
tlewis@hotmail.com,David Weber,56,Male,Yes,No,Daily,Sometimes,Maybe,Maybe,Maybe,Important,Simple UI,Yes,Despite whom sea security hundred not air physical different.,1/4 tsp,1/2 tsp,Too Bland,Too Salty,Too Bland,Perfect,Perfect,N/A,Too Bland,Too Salty
downsgabriel@yahoo.com,Keith Miller,45,Male,Yes,No,Rarely,Never,Maybe,No,Maybe,Very Important,Simple UI,Yes,Inside performance interest song why.,Too Salty,More than 1 tsp,N/A,More than 1 tsp,Too Salty,Too Bland,Too Bland,Too Bland,1/2 tsp,1/4 tsp
jason09@yahoo.com,Catherine Smith,36,Male,No,Yes,Rarely,Sometimes,No,No,Yes,Neutral,Voice Control,Yes,You media trade art others team measure recently simply.,N/A,Too Salty,1/4 tsp,N/A,N/A,1/2 tsp,N/A,More than 1 tsp,More than 1 tsp,N/A
daisy94@james.org,Leslie Knox,23,Female,No,No,Not applicable,Always,No,No,No,Neutral,Automated,No,Lead natural agree media carry hour.,N/A,More than 1 tsp,Too Bland,N/A,1/4 tsp,1/4 tsp,More than 1 tsp,1/2 tsp,Perfect,Perfect
mwilson@duran-smith.com,Kelly Harding,31,Other,Yes,No,Not applicable,Never,Yes,No,Yes,Important,Simple UI,Yes,Same major role total threat.,Too Salty,Perfect,Too Bland,Too Bland,Perfect,Too Salty,Too Bland,Too Bland,Too Bland,Perfect
jweaver@yahoo.com,Steve Ward,36,Female,Yes,Yes,Rarely,Always,Yes,No,No,Neutral,Adjustable,Yes,Near current capital dark we room step management.,N/A,Too Salty,1/2 tsp,Perfect,N/A,Too Bland,1/4 tsp,1/2 tsp,Too Bland,1/4 tsp
caustin@curtis-velez.com,Ricardo Watson,27,Female,No,No,Rarely,Always,Maybe,No,No,Neutral,Simple UI,No,Door buy dinner attack assume example.,1/4 tsp,Too Bland,1/4 tsp,N/A,Too Bland,Perfect,More than 1 tsp,Too Salty,More than 1 tsp,Too Bland
grantstephanie@vance.biz,Sarah Scott,29,Female,Yes,Yes,Weekly,Sometimes,No,Yes,No,Neutral,Automated,Yes,Southern mother story onto near memory democratic.,Too Salty,1/4 tsp,N/A,Too Salty,More than 1 tsp,N/A,N/A,More than 1 tsp,N/A,1/4 tsp
ariel33@yahoo.com,Sandra Cox,35,Female,No,No,Daily,Always,Yes,Yes,Yes,Important,Mobile App,No,Mission often though clear push bag person.,1/2 tsp,More than 1 tsp,N/A,1/2 tsp,More than 1 tsp,1/2 tsp,Perfect,Perfect,1/4 tsp,1/4 tsp
william12@cunningham.com,John Atkinson,33,Male,No,Yes,Rarely,Never,Maybe,No,Maybe,Neutral,Simple UI,No,Million best price community.,1/4 tsp,More than 1 tsp,Too Salty,1/4 tsp,Too Bland,Perfect,More than 1 tsp,1/2 tsp,N/A,More than 1 tsp
eddiecooper@mitchell-shaffer.biz,Thomas Paul,22,Female,Yes,Yes,Daily,Always,No,No,No,Not Important,Automated,Yes,Leave including indicate return drive security participant explain.,1/2 tsp,1/4 tsp,Perfect,Perfect,Too Bland,Perfect,Too Salty,Too Salty,Too Salty,Perfect
briannasantos@walker-wood.com,Ryan Hamilton,23,Male,Yes,No,Monthly,Never,Maybe,No,Maybe,Neutral,Voice Control,Yes,Put begin still shoulder together certainly score our what employee.,1/2 tsp,Too Bland,Perfect,More than 1 tsp,Too Salty,Too Salty,N/A,Too Salty,1/4 tsp,Perfect
kelly54@yahoo.com,Courtney Pena,35,Female,Yes,No,Not applicable,Never,Yes,Yes,Maybe,Important,Voice Control,No,Fast worker city get concern task conference under may meeting.,Too Salty,More than 1 tsp,Too Salty,Too Salty,More than 1 tsp,1/2 tsp,Too Bland,Too Salty,1/4 tsp,Too Bland
scottfernandez@davidson.com,Cheryl Green,65,Female,Yes,Yes,Weekly,Sometimes,Maybe,Maybe,No,Neutral,Adjustable,No,Decade almost wonder likely yet.,Perfect,1/2 tsp,Too Salty,N/A,Too Bland,1/2 tsp,Too Bland,Perfect,Perfect,1/2 tsp
penaernest@gmail.com,Timothy Garcia,45,Female,No,No,Rarely,Always,No,Maybe,No,Neutral,Simple UI,Yes,Role foreign pressure thousand drug young development especially middle piece.,Perfect,Too Salty,N/A,N/A,Too Bland,N/A,Too Salty,1/4 tsp,Too Bland,Perfect
traci06@salazar-foster.org,Alyssa Davis,45,Other,Yes,Yes,Weekly,Always,Yes,No,Maybe,Not Important,Simple UI,No,Thought heart off including significant care house it even body.,1/2 tsp,Too Salty,Perfect,N/A,More than 1 tsp,More than 1 tsp,Too Salty,1/4 tsp,More than 1 tsp,1/2 tsp
wmurray@johnson-murphy.com,Denise Hall DDS,65,Male,Yes,Yes,Weekly,Sometimes,Maybe,Maybe,Yes,Important,Adjustable,No,Move series who material hotel.,1/2 tsp,More than 1 tsp,1/4 tsp,Too Bland,1/4 tsp,More than 1 tsp,N/A,N/A,1/2 tsp,Perfect
lowerysara@erickson-wood.info,Connie Hunt,27,Other,Yes,No,Daily,Never,Yes,No,Yes,Very Important,Simple UI,Yes,Floor candidate establish authority can.,1/2 tsp,Too Salty,1/4 tsp,Too Salty,Perfect,Perfect,1/4 tsp,1/4 tsp,Perfect,Too Salty
gallen@gordon.com,Andrea Evans,64,Male,Yes,No,Not applicable,Always,No,No,Maybe,Important,Mobile App,Yes,Argue drop position shoulder other us tell scene body because.,Too Salty,Perfect,Perfect,Too Salty,More than 1 tsp,Too Bland,1/4 tsp,Too Salty,Too Bland,N/A
laurie84@perez-bird.info,Hayley Harrison,49,Other,No,No,Rarely,Sometimes,No,No,Yes,Not Important,Adjustable,No,True school follow foot central view land sport behind lay.,Too Bland,N/A,Perfect,Perfect,Too Bland,More than 1 tsp,Perfect,1/2 tsp,Perfect,1/4 tsp
zpatel@king-anderson.org,Zachary Park,56,Male,Yes,No,Not applicable,Always,Yes,Maybe,Maybe,Important,Automated,No,War stage machine nation case herself.,Too Salty,More than 1 tsp,Too Salty,1/4 tsp,1/4 tsp,1/2 tsp,Too Salty,1/2 tsp,N/A,1/2 tsp
carolynmedina@petersen.biz,Bianca Torres,42,Female,No,Yes,Weekly,Sometimes,Maybe,Yes,No,Important,Mobile App,No,Guy two yes fact ball apply over.,N/A,Too Bland,Too Bland,More than 1 tsp,More than 1 tsp,Too Salty,1/2 tsp,More than 1 tsp,More than 1 tsp,More than 1 tsp
gardnerraymond@munoz.info,Daniel Washington,30,Female,No,No,Daily,Never,No,Maybe,Yes,Neutral,Simple UI,Yes,Serve draw give cover ready truth.,Too Bland,N/A,1/4 tsp,Too Bland,1/4 tsp,Perfect,Too Bland,1/2 tsp,N/A,1/4 tsp
eric69@lee-stevens.com,Dustin Park,38,Other,No,No,Weekly,Always,No,No,Maybe,Very Important,Simple UI,Yes,Head dinner establish too might north animal view week recent.,Perfect,1/2 tsp,More than 1 tsp,Too Salty,Too Salty,Too Salty,1/2 tsp,N/A,1/2 tsp,Too Salty
nicolejones@yahoo.com,Connie Barry,60,Female,No,No,Monthly,Sometimes,Yes,Yes,No,Neutral,Voice Control,Yes,Eye report weight place real girl pick major federal.,1/2 tsp,Perfect,N/A,1/4 tsp,1/2 tsp,1/2 tsp,N/A,Too Bland,Perfect,Too Salty
dstewart@yahoo.com,Rachel Davis,31,Female,Yes,No,Rarely,Never,Maybe,Maybe,Yes,Important,Adjustable,Yes,Hear among report leader simply whose health free public security.,Too Salty,Too Bland,1/4 tsp,Too Salty,More than 1 tsp,Too Bland,More than 1 tsp,N/A,1/4 tsp,N/A
batesmichael@cook.info,Tracy Schultz,40,Male,No,No,Monthly,Never,Yes,No,Yes,Not Important,Mobile App,Yes,Culture yet field your institution bar analysis another country.,Perfect,1/4 tsp,More than 1 tsp,1/4 tsp,Too Bland,1/2 tsp,1/4 tsp,Too Salty,Too Salty,N/A
qharrell@mcbride-harris.info,Jennifer Chan,40,Other,Yes,Yes,Monthly,Always,Maybe,No,No,Important,Mobile App,Yes,Together fight number hold special in accept.,More than 1 tsp,More than 1 tsp,N/A,Perfect,Too Salty,1/2 tsp,Too Bland,N/A,1/2 tsp,1/2 tsp
wroach@white.info,Ann Baker,62,Female,No,Yes,Daily,Never,Maybe,Yes,Maybe,Not Important,Automated,Yes,Drop political eight yourself data fish always close still.,More than 1 tsp,Too Salty,N/A,Perfect,Perfect,Too Bland,More than 1 tsp,Too Salty,N/A,More than 1 tsp
